country,year,ev_stock,charging_points,ev_per_charger
Denmark,2022,229673.0,11400.0,20.14675438596491
Denmark,2023,338446.0,17000.0,19.90858823529412
Denmark,2024,496719.0,33400.0,14.871826347305388
Finland,2022,152139.0,9400.0,16.185
Finland,2023,234244.0,12200.0,19.200327868852458
Finland,2024,272371.0,16400.0,16.60798780487805
Iceland,2022,33521.0,1030.0,32.54466019417476
Iceland,2023,44547.0,1810.0,24.611602209944753
Iceland,2024,53550.0,3040.0,17.61513157894737
Norway,2022,816695.0,25000.0,32.6678
Norway,2023,937420.0,28000.0,33.479285714285716
Norway,2024,1004652.0,31000.0,32.40812903225807
Sweden,2022,471798.0,17600.0,26.806704545454547
Sweden,2023,611457.0,37800.0,16.176111111111112
Sweden,2024,724220.0,44600.0,16.23811659192825
